fdc_id,description,data_type,Energy,"Carbohydrate, by difference",Total lipid (fat),Protein,"Fiber, total dietary"
174837,"alcoholic beverage, wine, table, white",SR Legacy,82.0,2.6,0.0,0.07,0.0
174110,"alcoholic beverage, wine, table, white, chardonnay",SR Legacy,84.0,2.16,0.0,0.07,0.0
173195,"alcoholic beverage, wine, table, white, chenin blanc",SR Legacy,334.0,3.31,0.0,0.07,
173196,"alcoholic beverage, wine, table, white, fume blanc",SR Legacy,82.0,2.27,0.0,0.07,
174843,"alcoholic beverage, wine, table, white, gewurztraminer",SR Legacy,337.0,2.6,0.0,0.07,
173202,"alcoholic beverage, wine, table, white, late harvest",SR Legacy,467.0,13.4,0.0,0.07,
174844,"alcoholic beverage, wine, table, white, late harvest, gewurztraminer",SR Legacy,108.0,11.4,0.0,0.07,
173198,"alcoholic beverage, wine, table, white, muller thurgau",SR Legacy,319.0,3.48,0.0,0.07,
174849,"alcoholic beverage, wine, table, white, muscat",SR Legacy,342.0,5.23,0.0,0.07,
174848,"alcoholic beverage, wine, table, white, pinot blanc",SR Legacy,81.0,1.94,0.0,0.07,
174841,"alcoholic beverage, wine, table, white, pinot gris (grigio)",SR Legacy,83.0,2.06,0.0,0.07,
173200,"alcoholic beverage, wine, table, white, riesling",SR Legacy,337.0,3.74,0.0,0.07,
173201,"alcoholic beverage, wine, table, white, sauvignon blanc",SR Legacy,81.0,2.05,0.0,0.07,
174845,"alcoholic beverage, wine, table, white, semillon",SR Legacy,82.0,3.12,0.0,0.07,
171906,"alcoholic beverages, beer, higher alcohol",SR Legacy,243.0,0.27,0.0,0.9,0.0
171908,"alcoholic beverages, wine, rose",SR Legacy,83.0,3.8,0.0,0.36,0.0
168384,"alfalfa seeds, sprouted, raw",SR Legacy,23.0,2.1,0.69,3.99,1.9
170683,"amaranth grain, cooked",SR Legacy,102.0,18.7,1.58,3.8,2.1
170682,"amaranth grain, uncooked",SR Legacy,371.0,65.2,7.02,13.6,6.7
168492,"amaranth leaves, cooked, boiled, drained, with salt",SR Legacy,21.0,4.11,0.18,2.11,
169202,"amaranth leaves, cooked, boiled, drained, without salt",SR Legacy,21.0,4.11,0.18,2.11,
168385,"amaranth leaves, raw",SR Legacy,97.0,4.02,0.33,2.46,
167590,"andrea's, gluten free soft dinner roll",SR Legacy,1080.0,40.2,8.2,5.65,2.9
172345,"animal fat, bacon grease",SR Legacy,3750.0,0.0,99.5,0.0,0.0
167771,"apple juice, canned or bottled, unsweetened, with added ascorbic acid",SR Legacy,46.0,11.3,0.13,0.1,0.2
167800,"apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",SR Legacy,48.0,11.5,0.17,0.12,0.3
173933,"apple juice, canned or bottled, unsweetened, without added ascorbic acid",SR Legacy,191.0,11.3,0.13,0.1,0.2
173935,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",SR Legacy,47.0,11.5,0.1,0.14,0.1
167775,"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",SR Legacy,47.0,11.5,0.1,0.14,0.1
168188,"apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",SR Legacy,166.0,41.0,0.37,0.51,
173934,"apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",SR Legacy,166.0,41.0,0.37,0.51,0.4
169831,"applebee's, 9 oz house sirloin steak",SR Legacy,189.0,0.0,9.08,26.8,
169841,"applebee's, chicken tenders platter",SR Legacy,1240.0,18.0,16.2,19.6,1.0
169012,"applebee's, chicken tenders, from kids' menu",SR Legacy,296.0,18.4,16.2,19.2,1.2
169018,"applebee's, chili",SR Legacy,656.0,4.57,9.79,12.6,1.4
169020,"applebee's, coleslaw",SR Legacy,501.0,13.2,7.09,0.79,2.8
169840,"applebee's, crunchy onion rings",SR Legacy,356.0,40.2,19.6,4.58,3.1
169008,"applebee's, double crunch shrimp",SR Legacy,323.0,26.0,18.9,12.3,2.6
169017,"applebee's, fish, hand battered",SR Legacy,202.0,16.6,9.14,13.2,0.9
169009,"applebee's, french fries",SR Legacy,1210.0,39.5,13.2,3.31,3.9
169010,"applebee's, kraft, macaroni & cheese, from kid's menu",SR Legacy,143.0,21.1,4.34,5.01,1.3
169011,"applebee's, mozzarella sticks",SR Legacy,1320.0,22.9,18.4,14.9,2.1
173930,"apples, canned, sweetened, sliced, drained, heated",SR Legacy,67.0,16.8,0.43,0.18,2.0
171690,"apples, dehydrated (low moisture), sulfured, stewed",SR Legacy,74.0,19.9,0.12,0.28,2.6
173931,"apples, dehydrated (low moisture), sulfured, uncooked",SR Legacy,346.0,93.5,0.58,1.32,12.4
171693,"apples, dried, sulfured, stewed, with added sugar",SR Legacy,83.0,20.7,0.07,0.2,1.9
171692,"apples, dried, sulfured, stewed, without added sugar",SR Legacy,57.0,15.3,0.07,0.22,2.0
171691,"apples, dried, sulfured, uncooked",SR Legacy,243.0,65.9,0.32,0.93,8.7
173932,"apples, frozen, unsweetened, heated (includes foods for usda's food distribution program)",SR Legacy,47.0,12.0,0.33,0.29,1.3
171694,"apples, frozen, unsweetened, unheated (includes foods for usda's food distribution program)",SR Legacy,48.0,12.3,0.32,0.28,1.3
167793,"apples, raw, fuji, with skin (includes foods for usda's food distribution program)",SR Legacy,63.0,15.2,0.18,0.2,2.1
168204,"apples, raw, gala, with skin (includes foods for usda's food distribution program)",SR Legacy,237.0,13.7,0.12,0.25,2.3
168202,"apples, raw, golden delicious, with skin",SR Legacy,238.0,13.6,0.15,0.28,2.4
168203,"apples, raw, granny smith, with skin (includes foods for usda's food distribution program)",SR Legacy,58.0,13.6,0.19,0.44,2.8
168201,"apples, raw, red delicious, with skin (includes foods for usda's food distribution program)",SR Legacy,59.0,14.1,0.2,0.27,2.3
171688,"apples, raw, with skin (includes foods for usda's food distribution program)",SR Legacy,218.0,13.8,0.17,0.26,2.4
171689,"apples, raw, without skin",SR Legacy,48.0,12.8,0.13,0.27,1.3
173928,"apples, raw, without skin, cooked, boiled",SR Legacy,222.0,13.6,0.36,0.26,2.4
173929,"apples, raw, without skin, cooked, microwave",SR Legacy,234.0,14.4,0.42,0.28,2.8
167773,"applesauce, canned, sweetened, with salt",SR Legacy,76.0,19.9,0.18,0.18,1.2
171696,"applesauce, canned, sweetened, without salt",SR Legacy,283.0,17.5,0.17,0.16,1.2
167772,"applesauce, canned, unsweetened, with added ascorbic acid",SR Legacy,176.0,11.3,0.1,0.17,1.1
171695,"applesauce, canned, unsweetened, without added ascorbic acid (includes foods for usda's food distribution program)",SR Legacy,42.0,11.3,0.1,0.17,1.1
171704,"apricot nectar, canned, with added ascorbic acid",SR Legacy,56.0,13.6,0.45,0.17,0.1
171701,"apricots, canned, extra heavy syrup pack, without skin, solids and liquids",SR Legacy,96.0,24.8,0.04,0.55,1.6
173938,"apricots, canned, extra light syrup pack, with skin, solids and liquids (includes foods for usda's food distribution program)",SR Legacy,49.0,12.5,0.1,0.6,1.6
171699,"apricots, canned, heavy syrup pack, with skin, solids and liquids",SR Legacy,83.0,21.5,0.08,0.53,1.6
171700,"apricots, canned, heavy syrup pack, without skin, solids and liquids",SR Legacy,83.0,21.4,0.09,0.51,1.6
167768,"apricots, canned, heavy syrup, drained",SR Legacy,347.0,21.3,0.11,0.64,2.7
173937,"apricots, canned, juice pack, with skin, solids and liquids",SR Legacy,48.0,12.3,0.04,0.63,1.6
173939,"apricots, canned, light syrup pack, with skin, solids and liquids",SR Legacy,63.0,16.5,0.05,0.53,1.6
171698,"apricots, canned, water pack, with skin, solids and liquids",SR Legacy,27.0,6.39,0.16,0.71,1.6
173936,"apricots, canned, water pack, without skin, solids and liquids",SR Legacy,22.0,5.48,0.03,0.69,1.1
173940,"apricots, dehydrated (low-moisture), sulfured, stewed",SR Legacy,126.0,32.6,0.24,1.93,
171702,"apricots, dehydrated (low-moisture), sulfured, uncooked",SR Legacy,320.0,82.9,0.62,4.9,
173943,"apricots, dried, sulfured, stewed, with added sugar",SR Legacy,113.0,29.3,0.15,1.17,4.1
173942,"apricots, dried, sulfured, stewed, without added sugar",SR Legacy,85.0,22.2,0.18,1.2,2.6
173941,"apricots, dried, sulfured, uncooked",SR Legacy,1010.0,62.6,0.51,3.39,7.3
171703,"apricots, frozen, sweetened",SR Legacy,98.0,25.1,0.1,0.7,2.2
171697,"apricots, raw",SR Legacy,201.0,11.1,0.39,1.4,2.0
170791,"arby's, roast beef sandwich, classic",SR Legacy,242.0,22.2,10.3,15.2,1.3
175071,"archway home style cookies, chocolate chip ice box",SR Legacy,497.0,65.0,24.4,4.28,2.0
173245,"archway home style cookies, coconut macaroon",SR Legacy,460.0,61.2,22.6,3.02,5.1
173246,"archway home style cookies, date filled oatmeal",SR Legacy,1670.0,68.2,12.0,4.67,2.1
173247,"archway home style cookies, dutch cocoa",SR Legacy,431.0,69.4,15.0,4.5,2.6
173248,"archway home style cookies, frosty lemon",SR Legacy,430.0,64.8,17.1,4.41,0.7
173249,"archway home style cookies, iced molasses",SR Legacy,1760.0,69.1,14.4,3.5,1.0
175072,"archway home style cookies, iced oatmeal",SR Legacy,435.0,66.8,16.5,4.89,2.0
175073,"archway home style cookies, molasses",SR Legacy,1690.0,69.4,12.1,4.25,1.2
175074,"archway home style cookies, oatmeal",SR Legacy,421.0,68.2,14.1,5.48,2.9
175075,"archway home style cookies, oatmeal raisin",SR Legacy,1700.0,69.3,12.1,5.17,2.7
173250,"archway home style cookies, old fashioned molasses",SR Legacy,406.0,70.6,11.8,4.27,1.1
173251,"archway home style cookies, old fashioned windmill cookies",SR Legacy,1960.0,72.2,17.6,5.17,1.8
173252,"archway home style cookies, peanut butter",SR Legacy,480.0,58.5,24.3,9.0,2.8
